Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Bishop J.P.","54912945700;","""She's always been the smart one. I've always been the dumb one"": Identities in the mathematics classroom",2012,"Journal for Research in Mathematics Education","43","1",,"34","74",,74,"10.5951/jresematheduc.43.1.0034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856078777&doi=10.5951%2fjresematheduc.43.1.0034&partnerID=40&md5=8f89d68f49a2af2fd49d8495aa7f531a","San Diego State University, School of Teacher Education, Center for Research in Mathematics and Science Education, 5500 Campanile Drive, San Diego, CA 92182, United States","Bishop, J.P., San Diego State University, School of Teacher Education, Center for Research in Mathematics and Science Education, 5500 Campanile Drive, San Diego, CA 92182, United States","The moment-to-moment dynamics of student discourse plays a large role in students' enacted mathematics identities. Discourse analysis was used to describe meaningful discursive patterns in the interactions of 2 students in a 7th-grade, technology-based, curricular unit (SimCalc Math Worlds ®) and to show how mathematics identities are enacted at the microlevel. Frameworks were theoretically and empirically connected to identity to characterize the participants' relative positioning and the structural patterns in their discourse (e.g., who talks, who initiates sequences, whose ideas are taken up and publicly recognized). Data indicated that students' peer-to-peer discourse patterns explained the enactment of differing mathematics identities within the same local context. Thus, the ways people talk and interact are powerful influences on who they are, and can become, with respect to mathematics.","Affect; Classroom interaction; Discourse analysis; Social factors",,"English",Article,"Final","",Scopus,2-s2.0-84856078777
"Morris K.A., Hiebert J., Spitzer M.S.","29767696400;7004359925;26030093100;","Mathematical knowledge for teaching in planning and evaluating instruction: What can preservice teachers learn?",2009,"Journal for Research in Mathematics Education","40","5",,"491","529",,74,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450211193&partnerID=40&md5=e9dd338a0c3467bd6acb9494b6bb1f56","School of Education, University of Delaware, Newark, DE 19716, United States; Department of Mathematics, Towson University, 7800 York Road, Towson, MD 21252, United States","Morris, K.A., School of Education, University of Delaware, Newark, DE 19716, United States; Hiebert, J., School of Education, University of Delaware, Newark, DE 19716, United States; Spitzer, M.S., Department of Mathematics, Towson University, 7800 York Road, Towson, MD 21252, United States","The goal of this study is to uncover the successes and challenges that preservice teachers are likely to experience as they unpack lesson-level mathematical learning goals (i.e., identify the subconcepts and subskills that feed into target learning goals). Unpacking learning goals is a form of specialized mathematical knowledge for teaching, an essential starting point for studying and improving one's teaching. Thirty K.-8 preservice teachers completed 4 written tasks. Each task specified a learning goal and then asked the preservice teachers to complete a teaching activity with this goal in mind. For example, preservice teachers were asked to evaluate whether a student's responses to a series of mathematics problems showed understanding of decimal number addition. The results indicate that preservice teachers can identify mathematical subconcepts of learning goals in supportive contexts but do not spontaneously apply a strategy of unpacking learning goals to plan for, or evaluate, teaching and learning. Implications for preservice education are discussed.","Content knowledge; Pedagogical knowledge; Preservice teacher education; Teacher knowledge",,"English",Article,"Final","",Scopus,2-s2.0-70450211193
"Stockero S.L.","24069337600;","Using a video-based curriculum to develop a reflective stance in prospective mathematics teachers",2008,"Journal of Mathematics Teacher Education","11","5",,"373","394",,74,"10.1007/s10857-008-9079-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749089317&doi=10.1007%2fs10857-008-9079-7&partnerID=40&md5=437780692270911b1eaa079eb515261b","Department of Cognitive and Learning Sciences, Michigan Technological University, 1400 Townsend Drive, Houghton, MI 49931, United States","Stockero, S.L., Department of Cognitive and Learning Sciences, Michigan Technological University, 1400 Townsend Drive, Houghton, MI 49931, United States","Although video cases are increasingly being used in teacher education as a means of situating learning and developing habits of reflection, there has been little evidence of the outcomes of such use. This study investigates the effects of using a coherent video-case curriculum in a university mathematics methods course by addressing two issues: (1) how the use of a video-case curriculum affects the reflective stance of prospective teachers (PTs); and (2) the extent to which a reflective stance developed while reflecting on other teachers' practice transfers for reflecting on one's own practice. Data sources include videotapes of course sessions and PTs' written work from a middle school mathematics methods course that used a video-case curriculum as a major instructional tool. Both qualitative and quantitative analytical methods were used, including comparative and chi-square contingency table analyses. The PTs in this study showed changes in their level of reflection, their tendency to ground their analyses in evidence, and their focus on student thinking. In particular, they began to analyze teaching in terms of how it affects student thinking, to consider multiple interpretations of student thinking, and to develop a more tentative stance of inquiry. More significantly, the reflective stance developed via the video curriculum transferred to the PTs' self-reflection in a course field experience. The results of this study speak to the power of using a video-case curriculum as a means of developing a reflective stance in prospective mathematics teachers. © Springer Science+Business Media B.V. 2008.","Case method; Mathematics teacher education; Preservice teacher education; Reflection; Teacher learning; Video cases",,"English",Article,"Final","",Scopus,2-s2.0-51749089317
"Clarkson P.C.","15724470800;","Australian Vietnamese students learning mathematics: High ability bilinguals and their use of their languages",2007,"Educational Studies in Mathematics","64","2",,"191","215",,74,"10.1007/s10649-006-4696-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845679850&doi=10.1007%2fs10649-006-4696-5&partnerID=40&md5=90d3844710e30d5f4a1684e5d93d7bb2","Australian Catholic University, Faculty of Education, 115 Victoria Parade, Fitzroy, Vic. 3065, Australia","Clarkson, P.C., Australian Catholic University, Faculty of Education, 115 Victoria Parade, Fitzroy, Vic. 3065, Australia","Bilingual students have, at times, been thought to be at a disadvantage in learning mathematics because of an assumed interference between their two languages. Earlier research, confirmed again in this study, shows that this is a naive view to take. Although some bilingual students do have a harder time, others seem to be at an advantage. This study explores the use that bilingual students who are succeeding in mathematics make of their two languages. These students seem to have better metalinguistics skills that allow them to self-correct when solving problems, and are perhaps more confident in their approach to solving difficult problems. It also appears that students in this study switched between languages in early years of schooling, but only used English by the time they were completing elementary school. © 2006 Springer Science + Business Media, Inc.","Bilinguals; Immigrant students; Language switching; Mathematics and language; Novel problems; Vietnamese students",,"English",Article,"Final","",Scopus,2-s2.0-33845679850
"Beswick K.","24376072900;","The beliefs/practice connection in broadly defined contexts",2005,"Mathematics Education Research Journal","17","2",,"39","68",,74,"10.1007/BF03217415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846806670&doi=10.1007%2fBF03217415&partnerID=40&md5=6e00b626f3a18fd316607aa6b27ad2ff","University of Tasmania, Locked Bag 1307, Launceston TAS 7250, Australia","Beswick, K., University of Tasmania, Locked Bag 1307, Launceston TAS 7250, Australia","The findings of a study that examined the connection between the beliefs of secondary mathematics teachers and their classroom practices are reported in this article. Classroom practice was defined in terms of the extent to which classroom environments could be characterised as constructivist. Cluster analysis was used to group teachers according to their responses to a beliefs instrument and to group their classes according to their average responses to a classroom environment survey. Associations between the two sets of clusters were found, suggesting some consistency between broad relatively decontextualised teacher beliefs and student perceptions considered at the whole class level.",,,"English",Article,"Final","",Scopus,2-s2.0-33846806670
"D’Inverno R., Davis H., White S.","57190958486;7402189515;10738888600;","Using a personal response system for promoting student interaction",2003,"Teaching Mathematics and its Applications","22","4",,"163","169",,74,"10.1093/teamat/22.4.163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847641222&doi=10.1093%2fteamat%2f22.4.163&partnerID=40&md5=7697fb2dadddb2729041473f373f770c","Faculty of Engineering, Science and Mathematics, University of Southampton, Southampton, SO17 1BJ, United Kingdom","D’Inverno, R., Faculty of Engineering, Science and Mathematics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Davis, H.; White, S.","We first descibe the introduction of an electronic feedback system in a large lecture class in Engineering Mathematics designed to promote greater student interaction. We then look at the experience of using the system where it was primarily used to support the consolidation of key concepts in tutorials in Computer Science. We discuss the issue of how the introduction of such methods turned out to be as much a learning experience for the academics involved as for the students and consider the potential of these systems. © 2003 Oxford University Press.",,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33847641222
"Burton L.","7101864905;","The practices of mathematicians: What do they tell us about coming to know mathematics?",1998,"Educational Studies in Mathematics","37","2",,"121","143",,74,"10.1023/A:1003697329618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-54649084398&doi=10.1023%2fA%3a1003697329618&partnerID=40&md5=84f26d8a6f6a6364082ca72fd9bbfa23","School of Education, University of Birmingham, Edgbaston, Birmingham B15 2TT, United Kingdom","Burton, L., School of Education, University of Birmingham, Edgbaston, Birmingham B15 2TT, United Kingdom","In 1997, an interview-based study of 70 research mathematicians was undertaken with a focus on how they 'come to know' mathematics, i.e. their epistemologies. In this paper, I discuss how these mathematicians understand their practices, locating them in the communities of which they claim membership, identifying the style which dominates their organisation of research and looking at their lived contradictions. I examine how they talk about 'knowing' mathematics, the metaphors on which they draw, the empiricist connections central to the work of the applied mathematicians and statisticians, and the importance of connectivities to the construction of their mathematical Big Picture. I compare the stories of these research mathematicians with practices in mathematics classrooms and conclude with an appeal for teachers to pay attention to the practices of research mathematicians and their implications for coming to know mathematics. © 1999 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-54649084398
"Noss R., Healy L., Hoyles C.","7004339947;8845498000;6602954869;","The construction of mathematical meanings: Connecting the visual with the symbolic",1997,"Educational Studies in Mathematics","33","2",,"203","233",,74,"10.1023/a:1002943821419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846571511&doi=10.1023%2fa%3a1002943821419&partnerID=40&md5=e64ae219a5452d535a1978d2b42dce56","Mathematical Sciences Research Group, Institute of Education, University of London, United Kingdom","Noss, R., Mathematical Sciences Research Group, Institute of Education, University of London, United Kingdom; Healy, L., Mathematical Sciences Research Group, Institute of Education, University of London, United Kingdom; Hoyles, C., Mathematical Sciences Research Group, Institute of Education, University of London, United Kingdom","In this paper, we explore the relationship between learners' actions, visualisations and the means by which these are articulated. We describe a microworld, Mathsticks, designed to help students construct mathematical meanings by forging links between the rhythms of their actions and the visual and corresponding symbolic representations they developed. Through a case study of two students interacting with Mathsticks, we illustrate a view of mathematics learning which places at its core the medium of expression, and the building of connections between different mathematisations rather than ascending to hierarchies of decontextualisation. © 1997 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-33846571511
"Shaughnessy J.M.","16505376600;","Misconceptions of probability: An experiment with a small-group, activity-based, model building approach to introductory probability at the college level",1977,"Educational Studies in Mathematics","8","3",,"295","316",,74,"10.1007/BF00385927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039051251&doi=10.1007%2fBF00385927&partnerID=40&md5=f88c896b314f6e2af559bad3751bfc61","Oregon State University, Corvallis, United States","Shaughnessy, J.M., Oregon State University, Corvallis, United States","The day-by-day observations made by the experimenter during one of the activity-based classes indicate that college students can learn to discover some elementary probability models and formulas for themselves while working on probability experiments in small groups. Furthermore, the effects of sample size upon measures of central tendency and variability can be learned by students working on activities such as those developed for the experimental course in this study. Making guesses for the probability of events and checking guesses with a hand-held calculator seems to help college students to be more cautious about probability estimates, and helps to make them aware about some of their own misconceptions about probability. Small-group problem solving, keeping a log of all class work and activities, and investigating the misuses of statistics all appeared to have a positive effect upon college students' attitudes towards mathematics, as indicated in the questionnaires filled out by the subjects in the experimental sections. The present results of this study support the hypotheses of Kahneman and Tversky [10, 12] which claimed that combinatorially naive college students rely upon availability and representativeness to estimate the likelihood of events. Kahneman and Tversky were skeptical about the possibility of helping students to overcome their reliance upon availability and representativeness. The results on the posttest in this study suggest that the manner in which college students learn probability makes a difference in their ability to overcome misconceptions that arise from availability and representativeness. Mere exposure to probability concepts is not sufficient to overcome certain misconceptions of probability. Fischbein [9] notes that the ""synthesis between the necessary and the possible-which is the basis of probabilistic thinking-does not in fact take place spontaneously ...."" He claims that science education emphasizes only the deterministic aspect, and neglects the study of uncertainty. Thus peoples' intuition of probabilistic thinking is distorted by science education's emphasis on the necessary, and neglect of the possible. This experiment suggests that the course methodology and the teaching model used in an elementary probability course can help develop peoples' intuition for probabilistic thinking. A course in which students carry out experiments, work through activities to build their own probability models, and discover counting principles for themselves can help students to overcome their misconceptions about probability, and can help restore the synthesis between the necessary and the possible which is essential to probabilistic thinking. © 1977 D. Reidel Publishing Company.",,,"English",Article,"Final","",Scopus,2-s2.0-0039051251
"Moschkovich J.N.","6603143931;","Academic literacy in mathematics for English Learners",2015,"Journal of Mathematical Behavior","40",,,"43","62",,73,"10.1016/j.jmathb.2015.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957427960&doi=10.1016%2fj.jmathb.2015.01.005&partnerID=40&md5=6d4fed1ea53ed9416dd1c3021156434c","University of California, Santa Cruz, CA, United States","Moschkovich, J.N., University of California, Santa Cruz, CA, United States","This paper uses a sociocultural conceptual framework to provide an integrated view of academic literacy in mathematics for English Learners. The proposed definition of academic literacy in mathematics includes three integrated components: mathematical proficiency, mathematical practices, and mathematical discourse. The paper uses an analysis of a classroom discussion to illustrate how the three components of academic literacy in mathematics are intertwined, how academic literacy in mathematics is situated, and how participants engaged in academic literacy in mathematics use hybrid resources. The paper closes by describing the implications of this integrated view of academic literacy in mathematics for mathematics instruction for English Learners, arguing that it is important that the three components not be separated when designing instruction in general, and it is essential that mathematics instruction for English Learners address these three components simultaneously. © 2015 Elsevier Inc. All rights reserved.","Academic literacy; English Learners; Mathematical discourse; Mathematical practices",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84957427960
"Font V., Godino J.D., Gallardo J.","57218513310;8969497100;40461377200;","The emergence of objects from mathematical practices",2013,"Educational Studies in Mathematics","82","1",,"97","124",,73,"10.1007/s10649-012-9411-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871055113&doi=10.1007%2fs10649-012-9411-0&partnerID=40&md5=4f2f29b857f743eedfb6f5c23eeeb0ba","Departament de Didàctica de les Ciències Experimentals i la Matemàtica, Facultat de Formació del Professorat, Universitat de Barcelona, Campus Vall d'Hebron, Passeig de la Vall d'Hebron, 171, 08035 Barcelona, Spain; Departamento de Didáctica de la Matemática, Facultad de Educación, Universidad de Granada, 18071 Granada, Spain; Departamento de Didáctica de las Matemáticas, Didactica de las Ciencias Sociales y de las Ciencias Experimentales, Facultad de Ciencias de la Educacion, Universidad de Málaga, Campus de Teatinos, 29071 Málaga, Spain","Font, V., Departament de Didàctica de les Ciències Experimentals i la Matemàtica, Facultat de Formació del Professorat, Universitat de Barcelona, Campus Vall d'Hebron, Passeig de la Vall d'Hebron, 171, 08035 Barcelona, Spain; Godino, J.D., Departamento de Didáctica de la Matemática, Facultad de Educación, Universidad de Granada, 18071 Granada, Spain; Gallardo, J., Departamento de Didáctica de las Matemáticas, Didactica de las Ciencias Sociales y de las Ciencias Experimentales, Facultad de Ciencias de la Educacion, Universidad de Málaga, Campus de Teatinos, 29071 Málaga, Spain","The nature of mathematical objects, their various types, the way in which they are formed, and how they participate in mathematical activity are all questions of interest for philosophy and mathematics education. Teaching in schools is usually based, implicitly or explicitly, on a descriptive/realist view of mathematics, an approach which is not free from potential conflicts. After analysing why this view is so often taken and pointing out the problems raised by realism in mathematics this paper discusses a number of philosophical alternatives in relation to the nature of mathematical objects. Having briefly described the educational and philosophical problem regarding the origin and nature of these objects we then present the main characteristics of a pragmatic and anthropological semiotic approach to them, one which may serve as the outline of a philosophy of mathematics developed from the point of view of mathematics education. This approach is able to explain from a non-realist position how mathematical objects emerge from mathematical practices. © 2012 Springer Science+Business Media B.V.","Classroom discourse; Conventional versus realist mathematics; Epistemology; Mathematical objects; Onto-semiotics",,"English",Article,"Final","",Scopus,2-s2.0-84871055113
"Bekdemir M.","36450213100;","The pre-service teachers' mathematics anxiety related to depth of negative experiences in mathematics classroom while they were students",2010,"Educational Studies in Mathematics","75","3",,"311","328",,73,"10.1007/s10649-010-9260-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149496821&doi=10.1007%2fs10649-010-9260-7&partnerID=40&md5=c20617c2d3afcdc0bdc61bfa8492b5e9","Elementary Education Department, Erzincan University, 24030 Erzincan, Turkey","Bekdemir, M., Elementary Education Department, Erzincan University, 24030 Erzincan, Turkey","One of the aims of this study is to examine whether the worst experiences and most troublesome mathematics classroom experience affect mathematics anxiety in pre-service elementary teachers. Another goal is to find out how the causes of their anxiety relate to these negative experiences. The participants were 167 senior elementary pre-service teachers. Three different instruments were used to collect data; Mathematics Anxiety Rating Scale, Worst Experience and Most Troublesome Mathematics Classroom Experience Reflection Test, and Interview Protocol. The findings show that many pre-service teachers have mathematics anxiety and that the worst experience and the most troublesome mathematics classroom experience have a direct influence on mathematics anxiety in pre-service teachers. Also, the majority of instances of participants' mathematics anxiety are caused by the teachers, their behavior or teaching approaches in their past. © 2010 Springer Science+Business Media B.V.","Mathematics anxiety; Pre-service teachers; Worst experiences and most troublesome mathematics classroom experience",,"English",Article,"Final","",Scopus,2-s2.0-78149496821
"Gueudet G.","15837287500;","Investigating the secondary-tertiary transition",2008,"Educational Studies in Mathematics","67","3",,"237","254",,73,"10.1007/s10649-007-9100-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549109647&doi=10.1007%2fs10649-007-9100-6&partnerID=40&md5=82c4acab9d9668cbc34a43f21738e463","Centre de Recherche sur l'Education les Apprentissages et la Didactique (CREAD), Rennes, France; Institut Universitaire de Formation des Maîtres (IUFM) de Bretagne, 153, rue Saint-Malo, Rennes Cedex 35043, France","Gueudet, G., Centre de Recherche sur l'Education les Apprentissages et la Didactique (CREAD), Rennes, France, Institut Universitaire de Formation des Maîtres (IUFM) de Bretagne, 153, rue Saint-Malo, Rennes Cedex 35043, France","The secondary-tertiary transition has been studied in a great amount of research in mathematics education, adopting different focuses and theoretical approaches. I present here how these focuses led the authors to identify and study different students' difficulties and to develop different means of didactical action. Individual, social, but also institutional phenomena are considered with different perspectives. Each perspective yields a particular view of transition. The association and comparison of these views makes it possible to build an organized outline of this complex object, combining several kinds of ruptures and long-term evolutions. © 2007 Springer Science+Business Media B.V.","Advanced mathematical thinking; Assessment; Institutions; Mathematical language; Mathematical reasoning; Proof; Secondary-tertiary transition",,"English",Article,"Final","",Scopus,2-s2.0-38549109647
"Hollebrands K.F.","8392760100;","The role of a dynamic software program for geometry in the strategies high school mathematics students employ",2007,"Journal for Research in Mathematics Education","38","2",,"164","192",,73,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947376552&partnerID=40&md5=d048e0a7be8fc0d6623913edc3c1eb4b","North Carolina State University, United States; Department of Math, Science, and Technology Education, 326K Poe Hall, North Carolina State University, Raleigh, NC 27695-7801, United States","Hollebrands, K.F., North Carolina State University, United States, Department of Math, Science, and Technology Education, 326K Poe Hall, North Carolina State University, Raleigh, NC 27695-7801, United States","This study investigated the ways in which the technological tool, The Geometer's Sketchpad, mediated the understandings that high school Honors Geometry students developed about geometric transformations by focusing on their uses of technological affordances and the ways in which they interpreted technological results in terms of figure and drawing. The researcher identified different purposes for which students used dragging and different purposes for which students used measures. These purposes appeared to be influenced by students' mathematical understandings that were reflected in how they reasoned about the physical representations, the types of abstractions they made, and the reactive or proactive strategies employed.","Geometric transformations; Geometry; Problem-solving; Technology",,"English",Article,"Final","",Scopus,2-s2.0-33947376552
"Prokop P., Tuncer G., Chudá J.","8864179500;6602003008;54381387200;","Slovakian students' attitudes toward biology",2007,"Eurasia Journal of Mathematics, Science and Technology Education","3","4",,"287","295",,73,"10.12973/ejmste/75409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63749115352&doi=10.12973%2fejmste%2f75409&partnerID=40&md5=fd1547802bf35c300761c26c0bea35cd","Slovak Academy of Sciences, Institute of Zoology, Dúbravská 9, SK-845 06 Bratislava, Slovakia; Middle East Technical University, Ankara, Turkey; Trnava University, Trnava, Slovakia","Prokop, P., Slovak Academy of Sciences, Institute of Zoology, Dúbravská 9, SK-845 06 Bratislava, Slovakia; Tuncer, G., Middle East Technical University, Ankara, Turkey; Chudá, J., Trnava University, Trnava, Slovakia","Students' attitudes toward science significantly alter their achievement in science. Therefore, identification and influence of attitudes became to be an essential part of educational research. This study has been initiated by the idea that; research in students' attitudes toward science often involves science in general, but particular disciplines like biology or chemistry have been overlooked. Thus, this study is about Slovak students' attitude toward biology through six dimensions; interest, career, importance, teacher, equipment and difficulty. The study used a 30-item Biology Attitude Questionnaire (BAQ) to measure students' attitudes toward biology education. The data were obtained from 655 secondary school students attending eight typical elementary schools in Slovakia. Multivariate analysis of covariance (MANCOVA) revealed a negative effect of age whereas the effect of gender was not significant. Univariate results, on the other hand, indicated that there is a significant interaction of students' interest in relation with grade and gender. One of the findings of the study is that, students' attitude toward biology teacher is strongly affected by teacher identity. This can be taken as a hint for future research. That effect of teacher should be included as a parameter to be considered for the studies related to student attitude. Copyright © 2007 by Moment.","Biology education; Learning attitude; Slovakia; Student",,"English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-63749115352
"Pape S.J.","6603915210;","Middle school children's problem-solving behavior: A cognitive analysis from a reading comprehension perspective",2004,"Journal for Research in Mathematics Education","35","3",,"187","219",,73,"10.2307/30034912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442618171&doi=10.2307%2f30034912&partnerID=40&md5=6c1f8c9850f58f0e15ac50136afa81cb","Ohio State University, Columbus, OH, United States; Ohio State University, School of Teaching and Learning, 333 Arps Hall, 1945 North High Street, Columbus, OH 43210, United States","Pape, S.J., Ohio State University, Columbus, OH, United States, Ohio State University, School of Teaching and Learning, 333 Arps Hall, 1945 North High Street, Columbus, OH 43210, United States","Many children read mathematics word problems and directly translate them to arithmetic operations. More sophisticated problem solvers transform word problems into object-based or mental models. Subsequent solutions are often qualitatively different because these models differentially support cognitive processing. Based on a conception of problem solving that integrates mathematical problem-solving and reading comprehension theories and using constant comparative methodology (Strauss & Corbin, 1994), 98 sixth- and seventh-grade students' problem-solving behaviors were described and classified into five categories. Nearly 90% of problem solvers used one behavior on a majority of problems. Use of context such as units and relationships, recording information given in the problem, and provision of explanations and justifications were associated with higher reading and mathematics achievement tests, greater success rates, fewer errors, and the ability to preserve the structure of problems during recall. These results were supported by item-level analyses.","Arithmetic; Children's strategies; Cognitive style; Constant comparative methods; Middle grades, 5-8; Problem solving",,"English",Article,"Final","",Scopus,2-s2.0-2442618171
"Sfard A.","6508341590;","The development of algebra: Confronting historical and psychological perspectives",1995,"Journal of Mathematical Behavior","14","1",,"15","39",,73,"10.1016/0732-3123(95)90022-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009258747&doi=10.1016%2f0732-3123%2895%2990022-5&partnerID=40&md5=21c1c86830ab3415002d3cdc2074caa1","The Hebrew University of Jerusalem, Israel","Sfard, A., The Hebrew University of Jerusalem, Israel",[No abstract available],,,"English",Article,"Final","",Scopus,2-s2.0-0009258747
"Zhu Y., Leung F.K.S.","55723810100;9337522500;","Motivation and achievement: Is there an east asian model?",2011,"International Journal of Science and Mathematics Education","9","5",,"1189","1212",,72,"10.1007/s10763-010-9255-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052204911&doi=10.1007%2fs10763-010-9255-y&partnerID=40&md5=7f5f910760a14c0645d672487a1418bb","Faculty of Education, The University of Hong Kong, Pokfulam, Hong Kong SAR, China","Zhu, Y., Faculty of Education, The University of Hong Kong, Pokfulam, Hong Kong SAR, China; Leung, F.K.S., Faculty of Education, The University of Hong Kong, Pokfulam, Hong Kong SAR, China","The importance of motivation in learning has been widely recognized. However, due to its multidimensional and complex nature, it appears difficult to synthesize research findings on motivation across studies. Heated debates about the effects of intrinsic and extrinsic motivation on learning and their interaction have been going on since the terms started to be used. Moreover, cultural difference acts as another crucial factor in the field. Using the Trends in International Mathematics and Science Studies 2003 eighth grade mathematics data, this study scrutinized the relationship between pleasure-oriented (intrinsic-related) and productivity-oriented (extrinsic-related) motivation and how they collectively affect students' academic performance in East Asian education systems compared with those from Australia, England, The Netherlands, and the USA. The study found that both types of motivation contributed to East Asian students' mathematics achievement in an additive fashion, whereas extrinsic-related motivation appeared to have a detrimental effect on their Western counterparts' learning. Possible reasons were explored from a cultural perspective. © 2010 The Author(s).","East Asia; extrinsic motivation; intrinsic motivation; mathematics achievement; pleasure-oriented motivation; productivity-oriented motivation; TIMSS",,"English",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-80052204911
"Helme S., Clarke D.","8940576000;55683140700;","Identifying cognitive engagement in the mathematics classroom",2001,"Mathematics Education Research Journal","13","2",,"133","153",,72,"10.1007/BF03217103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442497132&doi=10.1007%2fBF03217103&partnerID=40&md5=d8060596acd1e3eedaeda64bba589acd","Department of Science and Mathematics Education, University of Melbourne, Parkville VIC 3052, Australia","Helme, S., Department of Science and Mathematics Education, University of Melbourne, Parkville VIC 3052, Australia; Clarke, D., Department of Science and Mathematics Education, University of Melbourne, Parkville VIC 3052, Australia","This paper reports an analysis of videotape and interview data from four Year 8 mathematics lessons from the perspective of student cognitive engagement. The study extends our understanding of cognitive engagement by locating empirical evidence for its occurrence within the classroom. On the basis of the data we have examined, it appears that cognitive engagement can be consistently recognised by specific linguistic and behavioural indicators and is promoted by particular aspects of the classroom situation, the task, and the individual.",,,"English",Article,"Final","",Scopus,2-s2.0-2442497132
"Battista M.T., Clements D.H., Arnoff J., Battista K., Van Auken Borrow C.","7003791715;7101885377;8845502100;57222264265;8845502500;","Students' spatial structuring of 2D arrays of squares",1998,"Journal for Research in Mathematics Education","29","5",,"503","532",,72,"10.2307/749731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22444452303&doi=10.2307%2f749731&partnerID=40&md5=9c69599b2d12c185bd09948d09ed642e","Kent State University, United States; State University of New York, Buffalo, NY, United States; Department of Mathematics Education, College of Education, Kent State University, Kent, OH 44242, United States; Department of Mathematics Education, School of Education, State University of New York at Buffalo, Buffalo, NY 14221, United States; College of Education, Kent State University, Kent, OH 44242, United States","Battista, M.T., Kent State University, United States, Department of Mathematics Education, College of Education, Kent State University, Kent, OH 44242, United States; Clements, D.H., State University of New York, Buffalo, NY, United States, Department of Mathematics Education, School of Education, State University of New York at Buffalo, Buffalo, NY 14221, United States; Arnoff, J., Kent State University, United States, College of Education, Kent State University, Kent, OH 44242, United States; Battista, K., Kent State University, United States, College of Education, Kent State University, Kent, OH 44242, United States; Van Auken Borrow, C., Kent State University, United States, College of Education, Kent State University, Kent, OH 44242, United States","We define spatial structuring as the mental operation of constructing an organization or form for an object or set of objects. It is an essential mental process underlying students' quantitative dealings with spatial situations. In this article, we examine in detail students' structuring and enumeration of 2-dimensional (2D) rectangular arrays of squares. Our research indicates that many students do not ""see"" the row-by-column structure we assume in such arrays. We describe the various levels of sophistication in students' structuring of these arrays and elaborate the nature of the mental process of structuring.","Cognitive development; Constructivism; Early childhood, K-4; Geometry; Learning; Measurement; Multiplication; Visualization/spatial reasoning",,"English",Article,"Final","",Scopus,2-s2.0-22444452303
