Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Smith D.K., Aimar C., Clusellas G., Stough S.","55597698400;36547290500;55976524500;6505900213;","Altos de Tinogasta, Argentina",2013,"Journal of the International Academy for Case Studies","19","3",,"99","114",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891099402&partnerID=40&md5=fd8a7d578d5c99686d485a45c35a3283","Baze University, Nigeria; University Of San Isidro, Philippines; San Isidro Buenos Aires, Argentina; Southeast Missouri State University, United States","Smith, D.K., Baze University, Nigeria; Aimar, C., University Of San Isidro, Philippines; Clusellas, G., San Isidro Buenos Aires, Argentina; Stough, S., Southeast Missouri State University, United States","This case challenges students to develop alternatives for (within the next 12 months) very substantially increasing the revenues of the Altos de Tinogasta ""productive real estate"" company in Argentina. The case is based on data collected by one of the authors in Argentina. The case is appropriate for senior-level undergraduates as well as students in MBA and Executive Development programs. It is designed to be taught in a one hour and a half class session, and is likely to require at least a couple hours of preparation by students. Mr. Gabriel Clusellas is President of Altos de Tinogasta-La Aguadita S.A., a farming/real estate company located on 3000 hectares in the town of Tinogasta, Province of Catamarca, in Argentina. The business model Altos de Tinogasta (hence, AT) is using, and the results the company has achieved so far, are as indicated below: 1. The 3000 hectares are being planted in two crops: olives and grapes. The first harvests will be in 2013. 2. The hectares being planted in olives have been divided up into 216 parcels of 10,000 square meters each; these parcels are being offered to investors at a price of $27,000 per parcel. The hectares being planted in grapes have been divided up into 208 parcels of 2,500 square meters each; these parcels are being offered to investors at a price of $15,000 per parcel. 3. Of the 104 parcels planted in grapes so far, 81 (that is, 78%) have been sold. Of the 108 parcels planted in olives so far, 40 (that is, 37%) have been sold. However, the trend in sales is not reassuring: After a very strong performance in 2010 (a total of 71 parcels were sold that year), only 22 parcels were sold in 2011 while in the first half of 2012, only 8 parcels were sold. To continue developing its infrastructure and to continue planting additional parcels with olives or grapes, AT needs to substantially increase its revenues. 4.4. The objective Mr. Clusellas has set for the company is to generate revenues of at least $2,000,000 within the next 12 months; this would be a very substantial increase in the total revenue of approximately $500,000 generated by sales of plots in 2011. 5. Mr. Clusellas has invited Professor Carlos Aimar to develop (within 30 days) a set of alternatives for achieving the above objective, that is, that over the next 12 months, AT should generate at least $2,000,000 of revenue. Additional data and information in the case include: 1. Regarding Argentina: Historical overview, a sample of recent demographic statistics from the World Bank, (and for benchmarking purposes, comparable statistics for the United States), plus information on the economy of Argentina. 2. Regarding the company: Business model, current marketing strategy, current performance, and numerous factors impacting that performance. 3. Additional information: Information on the activities, interests, and opinions of members of the market AT has targeted, information about competing products (both domestic and international), and information about the real estate industry in Argentina. © 2013 by Jordan Whitney Enterprises, Inc, Arden NC, USA.",,,,,,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-84891099402
"Figueroa C., Castro L., Fox J.R., Lozano M.","55970115800;57201537190;55970862900;55970415600;","The fibonacci sequence and the golden section in electrical engineering and numerical analysis [La Secuencia de Fibonacci y el Número de Oro en Ingeniería Eléctrica y Análisis Numérico]",2013,"Formacion Universitaria","6","2",,"23","32",,,"10.4067/S0718-50062013000200004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890750166&doi=10.4067%2fS0718-50062013000200004&partnerID=40&md5=6838600efa2e20606f7093d6d3c9621d","Universidad de Sonora, División de Ingeniería, Departamento de Ingeniería Industrial, Unidad Regional Centro, Av. Rosales y L. Encinas, Col. Centro. CP. 83500, Hermosillo, Sonora, Mexico; Universidad de Sonora, División de Ciencias e Ingeniería, Departamento de Física, Matemáticas e Ingeniería, Unidad Regional Sur. Lázaro, Cárdenas No. 100, C.P. 85880, Navojoa, Sonora, Mexico","Figueroa, C., Universidad de Sonora, División de Ingeniería, Departamento de Ingeniería Industrial, Unidad Regional Centro, Av. Rosales y L. Encinas, Col. Centro. CP. 83500, Hermosillo, Sonora, Mexico; Castro, L., Universidad de Sonora, División de Ciencias e Ingeniería, Departamento de Física, Matemáticas e Ingeniería, Unidad Regional Sur. Lázaro, Cárdenas No. 100, C.P. 85880, Navojoa, Sonora, Mexico; Fox, J.R., Universidad de Sonora, División de Ciencias e Ingeniería, Departamento de Física, Matemáticas e Ingeniería, Unidad Regional Sur. Lázaro, Cárdenas No. 100, C.P. 85880, Navojoa, Sonora, Mexico; Lozano, M., Universidad de Sonora, División de Ciencias e Ingeniería, Departamento de Física, Matemáticas e Ingeniería, Unidad Regional Sur. Lázaro, Cárdenas No. 100, C.P. 85880, Navojoa, Sonora, Mexico","This article claims to develop alternative solutions to two different problems which contain the golden section: 1) in an electrical circuit with infinite ohmic resistances this paper provides an inductive solution by Fibonacci sequence and results are corroborated using continue fractions; and 2) in the design of a frustum of a cone with minimum aerodynamic resistance a numerical solution is proposed to check the goodness of the model. Both exercises have didactic power on subjects such as electrical engineering, vectorial mechanics, numerical analysis and advanced algebra. This paper represents a contribution to the study of subjects associated to improve mathematical skills.","Aerodynamic resistance; Fibonacci sequence; Golden section; Semi-infinite ladder",,,,,,,,,,,,,"Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84890750166
"Hidalgo Díez E., Manzano Díaz M.","39861317600;55970942800;","The reading comprehension process in a foreign language: A proposal to evaluate reading strategies [El proceso de comprensión en una lengua extranjera: Una propuesta para evaluar estrategias de lectura]",2013,"Educacion XX1","17","1",,"309","326",,3,"10.5944/educxx1.17.1.10716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890628281&doi=10.5944%2feducxx1.17.1.10716&partnerID=40&md5=af9ec5b270a230abe10026353fec27fa","Universidad de Granada, Spain; Universidad de Ciego de Ávila, Cuba","Hidalgo Díez, E., Universidad de Granada, Spain; Manzano Díaz, M., Universidad de Ciego de Ávila, Cuba","We understand that learning strategies in the reading comprehension process are not directly observed, but they may be detectable and measurable. The evaluation is a process that is being studied from new angles more consciously focused on the person who learns how to learn. To assess the use of strategies during reading we have elaborated an instrument - a questionnaire aimed at evaluating the students' own cognitive and affective procedures through the reading comprehension process in a foreign language. The process of the information includes a list of skills which contains not only decoding, but also applying and extending the interpretation of the written text to other contexts, and the construction of new meaning and senses i. e. the creation of new texts. Therefore, after an exhaustive bibliographical review, four categories with their corresponding items were established: previous knowledge, translation level, interpretation level, and extrapolation level. Finally, we set up the technical characteristics of the questionnaire through statistic methods such as: Alpha of Crombach to validate its reliability, the criterion of experts and factorial analysis which confirmed its validity to evaluate the use of reading strategies in the teaching learning process of a foreign language.","Evaluation; Reading comprehension; Reading strategies",,,,,,,,,,,,,"English; Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84890628281
"Krüger N.","55331718600;","Social segregation and educational attainment inequality in Argentina [Segregación social y desigualdad de logros educativos en Argentina]",2013,"Education Policy Analysis Archives","21",,,"","",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888396615&partnerID=40&md5=ea525a0588e20e75dad1eb8f25c1dd93","Universidad Nacional del Sur, Instituto de Investigaciones Económicas, Sociales del Sur (UNS-CONICET, Argentina","Krüger, N., Universidad Nacional del Sur, Instituto de Investigaciones Económicas, Sociales del Sur (UNS-CONICET, Argentina","This paper analyzes the impact of high school socioeconomic segregation on educational equity in Argentina. The presence of segregation means that students are unevenly distributed throughout the system, concentrating in certain schools according to their social origin. The aim is to assess whether this process can increase educational attainment inequality. Using the PISA 2009 database, multilevel models are estimated in order to examine the effects of schoolś social composition on individual reading performance. The evidence supports the existence of significant compositional effects which help explain test score dispersion. This suggests that young people of low socioeconomic status face a double educational risk: i) an initial disadvantage related to their social and family background; and ii) a high probability of attending a school with a vulnerable student population, where they may be exposed to negative peer effects. The findings support the need to consider the social composition of schools as a key educational policy factor, and the relevance of analyzing ways to promote social inclusion in the system.","2009; Academic achievement; Argentina; Contextual effects; Educational equity; High school; Multilevel analysis; PISA; School segregation; Socioeconomic level",,"Naval Air Warfare Center, Aircraft Division, NAWCAD","Funding of this research hv the Naval Air Warfare Center-Aircraft Division (NA\\'GAD) under Contract No. NOOO3P 92-(XI00 is gratefttllv acknowledged.",,,,,,,,,,"English; Spanish",Article,"Final","",Scopus,2-s2.0-84888396615
"de Souza L.A., Marafioti Garnica A.V.","55941323100;26326197900;","The modern math movement(s): An essay on how elementary school teachers in Brazil gave meaning to it [As matemáticas modernas: Um ensaio sobre os modos de produção de significado ao(s) movimento(s) no ensino primário Brasileiro]",2013,"Revista Latinoamericana de Investigacion en Matematica Educativa","16","3",,"369","393",,,"10.12802/relime.13.1634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888395892&doi=10.12802%2frelime.13.1634&partnerID=40&md5=6afa57eb43052162838ec64b978fd2e2","Instituto de Matemática, Universidade Federal de Mato Grosso do Sul, Campo Grande, Mato Grosso do Sul, Brazil; Universidade Estadual Paulista, Bauru, São Paulo, Brazil","de Souza, L.A., Instituto de Matemática, Universidade Federal de Mato Grosso do Sul, Campo Grande, Mato Grosso do Sul, Brazil; Marafioti Garnica, A.V., Universidade Estadual Paulista, Bauru, São Paulo, Brazil","The main goal of this paper is to discuss the production of meaning of the Modern Math Movement. The main sources were data available in school archives and interviews with former teachers that we use in order to focus on the diversity of perspectives -that complement it or oppose it-, which comes up when teachers refer to the Movement. Using this process of signification, teachers whether accept it, invalidate it or adapt it to guidelines imposed to them in their teaching activities. We establish a methodology by following the premises of Oral History to gather oral testimonies. The theoretical foundations in which this article is written are the guidelines of Paul Ricoeur's Hermeneutics, John Thompson's Depth Hermeneutics and Bolívar's narrative analysis.","Appropriation/mobilization; Attribution of meanings; Basic education; Education; History of mathematics; Modern maths",,,,,,,,,,,,,"English; Spanish",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84888395892
"González-Martín A.S., Giraldo V., Souto A.M.","40761427800;55804557500;55955470600;","The introduction of real numbers in secondary education: An institutional analysis of textbooks",2013,"Research in Mathematics Education","15","3",,"230","248",,7,"10.1080/14794802.2013.803778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889660748&doi=10.1080%2f14794802.2013.803778&partnerID=40&md5=ccb9bc00b59606316d834f29a2194af1","Département de Didactique, Université de Montréal, Montréal, QC, Canada; Instituto de Matemática, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Colégio Pedro II, Rio de Janeiro, Brazil","González-Martín, A.S., Département de Didactique, Université de Montréal, Montréal, QC, Canada; Giraldo, V., Instituto de Matemática, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Souto, A.M., Colégio Pedro II, Rio de Janeiro, Brazil","In this paper we analyse the introduction of irrational and real numbers in secondary textbooks, and specifically the propositions on how these should be taught, in a sample of Brazilian textbooks used in state schools and approved by the Ministry of Education. The analyses discussed in this paper follow an institutional perspective (using Chevallard's Anthropological Theory of Didactics). Our results indicate that the notion of irrational number is generally introduced on the basis of the decimal representation of numbers, and that the mathematical need for the construction of the field of real numbers remains unclear in the textbooks. It seems that textbooks used in secondary teaching institutions develop mathematical organisations which focus on the practical block. © 2013 British Society for Research into Learning Mathematics.","irrational numbers; mathematical organisation; praxeology; real numbers; textbooks analysis",,,,,,,,,,,,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84889660748
"Barros F.S.","23021143400;","The short stays of Cesar Lattes and Leite Lopes at Fundão Island [As passagens de cesar lattes e de leite lopes pela ilha do fundão]",2013,"Revista Brasileira de Ensino de Fisica","35","4","4701","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888363225&partnerID=40&md5=5445d9652ff9d1be3fe1a3d4f0a8cd16","Instituto de Física, Universidade Federal do Rio de Rio de Janeiro, Cidade Universitária, Ilha do Fundão Rio de Janeiro, RJ, Brazil","Barros, F.S., Instituto de Física, Universidade Federal do Rio de Rio de Janeiro, Cidade Universitária, Ilha do Fundão Rio de Janeiro, RJ, Brazil","In 2012, the centenary of the discovery of cosmic rays by Victor Hess, it is appropriate to describe two independent projects, by Cesar Lattes and José Leite Lopes. These pioneers of elementary particle physics in Brazil were thesis advisors at the Brazilian Center of Physics Researches (CBPF), and professors at Rio de Janeiro National Faculty of Philosophy (FNFi). During the military regime of the 1960s and 1970s, a number of government decisions affected higher education institutions in Brazil. One of these determinations was specific to federal institutions of higher education in Rio de Janeiro that were grouped and incorporated to the UFRJ, and determined to transfer to the campus of the Fundão Island. These official acts, altering the teaching staff, and shifting the campuses of public universities have a long history. In the first part these Notes, we present some evidence of the attempts by Lattes in 1968 to install a research laboratory in Fundão Island. This is a little-known initiative because the files of Lattes are nowadays at UNICAMP. In the second part, we comment on the plans of José Leite Lopes at the Institute of Physics of the University of Brazil, current Federal University of Rio de Janeiro, UFRJ, and in particular of his proposal to build an accelerator that would be installed in the Fundão Island. The proposals of Leite Lopes are better known, as they have been documented in his books and interviews. In the final part of these Notes, we present some comments on the author's involvement with theseepisodes. © Sociedade Brasileira de Física.","Cesar Lattes; Cosmic rays; Fundão Island; Leite Lopes; UFRJ",,,,,,,,,,,,,"Portuguese",Article,"Final","",Scopus,2-s2.0-84888363225
"Toledo R.S., Pérez I.A., Rodríguez R.H., Magalhães D.S.F., Muramatsu M., Soga D., Pareja D.Z.","26029256500;55940638000;55940220200;8343555000;7201730669;8729553300;55939440500;","Physical contribution to the development of research skills in engineering students [Contribución de la física al desarrollo de habilidades investigativas en estudiantes de ingeniería]",2013,"Revista Brasileira de Ensino de Fisica","35","4","4502","","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888312396&partnerID=40&md5=9f6a1993213bde44063cffeee84472f0","Departamento de Física, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Centro de Referencia para la Educación de Avanzada, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Departamento de Bioingeniería, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Laboratório de Neuroimagem, Hospital de Clínicas, Universidade Estadual de Campinas, Campinas, SP, Brazil; Grupo de Óptica e Sistemas Amorfos, Departamento de Física Geral, Instituto de Física, Universidade de São Paulo, São Paulo, SP, Brazil; Estudiante de Bioingeniería, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba","Toledo, R.S., Departamento de Física, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Pérez, I.A., Centro de Referencia para la Educación de Avanzada, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Rodríguez, R.H., Departamento de Bioingeniería, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba; Magalhães, D.S.F., Laboratório de Neuroimagem, Hospital de Clínicas, Universidade Estadual de Campinas, Campinas, SP, Brazil; Muramatsu, M., Grupo de Óptica e Sistemas Amorfos, Departamento de Física Geral, Instituto de Física, Universidade de São Paulo, São Paulo, SP, Brazil; Soga, D., Grupo de Óptica e Sistemas Amorfos, Departamento de Física Geral, Instituto de Física, Universidade de São Paulo, São Paulo, SP, Brazil; Pareja, D.Z., Estudiante de Bioingeniería, Instituto Superior Politécnico José Antonio Echeverría, Ciudad de la Habana, Cuba","Scientic research is essential to improve the quality of future specialists, due to the high rate of development of science and technology which professionals have to respond creatively to the problems of greatest relevance and importance. Developing scientic thinking is one of the purposes of Higher Education and it is responsibility of all the disciplines that compose a career. Among the main functions of a university professor is their ability to use the results of the research to form the student. The scientic research should be an academic requirement since the early years of career, as part of integral formation of students. This work shows the achieved results of the Physical discipline in the development of student scientic work with students of the Biomedical Engineering career at the Instituto Superior Politécnico José Antonio Echeverría, signicantly increasing the number of students participating in scientic research and their motivation for this, the activity of independent and creative work and making the link between knowledge and practice as well as the integration with other disciplines of the career. © by the Sociedade Brasileira de Física.","Engineering; research skills",,,,,,,,,,,,,"Portuguese",Article,"Final","",Scopus,2-s2.0-84888312396
"Trgalová J., Jahn A.P.","24465908600;55389355800;","Quality issue in the design and use of resources by mathematics teachers",2013,"ZDM - International Journal on Mathematics Education","45","7",,"973","986",,8,"10.1007/s11858-013-0525-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888016912&doi=10.1007%2fs11858-013-0525-3&partnerID=40&md5=7689ec6e1af1d4165aa6ed947c4c5afa","S2HEP, Claude Bernard University, Lyon, France; IME, University of São Paulo, São Paulo, Brazil","Trgalová, J., S2HEP, Claude Bernard University, Lyon, France; Jahn, A.P., IME, University of São Paulo, São Paulo, Brazil","The profusion of resources, mostly on the Internet, makes the issue of their quality more and more pressing. Teachers often find themselves unable to choose from among them those that would be the most relevant to their educational goal and to the context of their classes. In our previous work, we claimed that acquiring resource analysis skills is one of the keys to the teachers' professional development supporting the integration of dynamic geometry systems. Based on this assumption, we have designed a quality questionnaire for the i2geo repository aiming at framing the analysis of available resources by the platform users. The research reported in this paper, which is a continuation of this work, explores the way the quality criteria are taken into account in the design and use of resources by members of the community that has emerged around the repository and sheds light on possible evolutions of teachers' and teacher educators' professional practices due to their involvement in the resource quality evaluation. © 2013 FIZ Karlsruhe.","Dynamic geometry; Dynamic geometry resource quality; i2geo repository; Open educational resource",,,,,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-84888016912
"Cepeda-Cuervo E., Núñez-Antón V.","23487802900;6701923785;","Spatial Double Generalized Beta Regression Models: Extensions and Application to Study Quality of Education in Colombia",2013,"Journal of Educational and Behavioral Statistics","38","6",,"604","628",,15,"10.3102/1076998613499779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887557929&doi=10.3102%2f1076998613499779&partnerID=40&md5=0dd5534ec82641d6c4d05c2511983fa2","Departamento de Estad́istica of Universidad Nacional de Colombia, Carrera 45 No 26-85 - Edificio Uriel Gutiérrez, Bogotá D.C, Colombia; Departamento de Econometŕia y Estad́istica (Econoḿia Aplicada III), Universidad del Páis Vasco UPV/EHU, Avenida Lehendakari Aguirre 83, E-40015 Bilbao, Spain","Cepeda-Cuervo, E., Departamento de Estad́istica of Universidad Nacional de Colombia, Carrera 45 No 26-85 - Edificio Uriel Gutiérrez, Bogotá D.C, Colombia; Núñez-Antón, V., Departamento de Econometŕia y Estad́istica (Econoḿia Aplicada III), Universidad del Páis Vasco UPV/EHU, Avenida Lehendakari Aguirre 83, E-40015 Bilbao, Spain","In this article, a proposed Bayesian extension of the generalized beta spatial regression models is applied to the analysis of the quality of education in Colombia. We briefly revise the beta distribution and describe the joint modeling approach for the mean and dispersion parameters in the spatial regression models' setting. Finally, we motivate the need for the innovative use of the generalized beta spatial regression model to the study of the performance of school children in Mathematics and Language, as well as in the analysis of illiteracy data, and present its results in the context of evaluating the quality of education in Colombia. © 2013 AERA.","beta regression models; quality of education; spatial econometric models",,"Edge Hill University, EHU; Eusko Jaurlaritza; Euskal Herriko Unibertsitatea, EHU: IT-334-07, IT-642-13, UFI11/03, US12/09; Universitat Politècnica de València, UPV; Ministerio de Ciencia e Innovación, MICINN; European Regional Development Fund, FEDER: MTM2010-14913","The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The work of the first author was supported by the Department of Statistics of Universidad Nacional de Colombia and by Ministerio de Ciencia e Innovación and FEDER under research grant MTM2010-14913. The work of the second autor was supported by Ministerio de Ciencia e Innovación, FEDER, the Department of Education of the Basque Government (UPV/EHU Econometrics Research Group), and Universidad del País Vasco UPV/EHU under research grants MTM2010-14913, IT-334-07, UFI11/03, US12/09, and IT-642-13.",,,,,,,,,,"English",Article,"Final","",Scopus,2-s2.0-84887557929
